"weeks","naive","sick","recovered","hospitalized","R0"
0,200000.0,1,0,0,1.029
1,200000.0,1,1,0,1.029
2,199999.0,1,1,0,1.029
3,199998.0,1,1,0,1.029
4,199997.0,1,1,0,1.029
5,199996.0,1,1,0,1.029
6,199995.0,1,1,0,1.029
7,199994.0,1,1,0,1.029
8,199993.0,1,1,0,1.029
9,199992.0,1,1,0,1.029
10,199991.0,1,1,0,1.029
11,199990.0,1,1,0,1.029
12,199989.0,1,1,0,1.029
13,199988.0,1,1,0,1.029
14,199987.0,1,1,0,1.029
15,199986.0,1,1,0,1.029
16,199985.0,2,1,0,1.029
17,199984.0,2,2,0,1.029
18,199982.0,2,2,0,1.029
19,199980.0,2,2,0,1.029
20,199978.0,2,2,0,1.029
21,199976.0,2,2,0,1.029
22,199974.0,2,2,0,1.029
23,199972.0,2,2,0,1.029
24,199970.0,2,2,0,1.029
25,199968.0,2,2,0,1.029
26,199966.0,2,2,0,1.029
27,199964.0,2,2,0,1.029
28,199962.0,2,2,0,1.029
29,199960.0,2,2,0,1.029
30,199958.0,2,2,0,1.029
31,199956.0,2,2,0,1.029
32,199954.0,2,2,0,1.029
33,199952.0,2,2,0,1.029
34,199950.0,3,2,0,1.029
35,199948.0,3,3,0,1.029
36,199945.0,3,3,0,1.029
37,199942.0,3,3,0,1.029
38,199939.0,3,3,0,1.029
39,199936.0,3,3,0,1.029
40,199933.0,3,3,0,1.029
41,199930.0,3,3,0,1.029
42,199927.0,3,3,0,1.029
43,199924.0,3,3,0,1.029
44,199921.0,3,3,0,1.029
45,199918.0,4,3,0,1.029
46,199915.0,4,4,0,1.029
47,199911.0,4,4,0,1.029
48,199907.0,4,4,0,1.029
49,199903.0,4,4,0,1.029
50,199899.0,4,4,0,1.029
51,199895.0,4,4,0,1.029
52,199891.0,4,4,0,1.029
53,199887.0,4,4,0,1.029
54,199883.0,5,4,0,1.029
55,199879.0,5,5,0,1.029
56,199874.0,5,5,0,1.029
57,199869.0,5,5,0,1.029
58,199864.0,5,5,0,1.029
59,199859.0,5,5,0,1.029
60,199854.0,5,5,0,1.029
61,199849.0,6,5,0,1.029
62,199844.0,6,6,0,1.029
63,199838.0,6,6,0,1.029
64,199832.0,6,6,0,1.029
65,199826.0,6,6,0,1.029
66,199820.0,6,6,0,1.029
67,199814.0,7,6,0,1.029
68,199808.0,7,7,0,1.029
69,199801.0,7,7,0,1.029
70,199794.0,7,7,0,1.029
71,199787.0,7,7,0,1.029
72,199780.0,8,7,0,1.029
73,199773.0,8,8,0,1.029
74,199765.0,8,8,0,1.029
75,199757.0,8,8,0,1.029
76,199749.0,9,8,0,1.029
77,199741.0,9,9,0,1.029
78,199732.0,9,9,0,1.029
79,199723.0,9,9,0,1.029
80,199714.0,10,9,0,1.029
81,199705.0,10,10,0,1.029
82,199695.0,10,10,0,1.029
83,199685.0,10,10,0,1.029
84,199675.0,11,10,0,1.029
85,199665.0,12,10,1,1.029
86,199655.0,12,11,1,1.029
87,199644.0,13,11,1,1.029
88,199633.0,13,12,1,1.029
89,199621.0,13,12,1,1.029
90,199609.0,14,12,1,1.029
91,199597.0,14,13,1,1.029
92,199584.0,14,13,1,1.029
93,199571.0,15,13,1,1.029
94,199558.0,15,14,1,1.029
95,199544.0,16,14,1,1.029
96,199530.0,16,15,1,1.029
97,199515.0,17,15,1,1.029
98,199500.0,17,16,1,1.029
99,199484.0,17,16,1,1.029
100,199468.0,18,16,1,1.029
101,199452.0,18,17,1,1.029
102,199435.0,19,17,0,1.029
103,199418.0,19,18,0,1.029
104,199400.0,20,18,0,1.029
105,199382.0,21,19,0,1.029
106,199363.0,21,20,0,1.029
